iter	Passed	Remaining
0	3	3521
1	8	4141
2	23	7680
3	43	10803
4	53	10616
5	61	10132
6	66	9431
7	85	10561
8	91	10071
9	105	10460
10	113	10234
11	125	10363
12	140	10700
13	151	10689
14	173	11424
15	180	11088
16	184	10639
17	190	10366
18	197	10178
19	202	9913
20	211	9881
21	219	9761
22	224	9522
23	230	9383
24	235	9191
25	240	8991
26	246	8882
27	250	8695
28	254	8522
29	264	8552
30	269	8421
31	274	8316
32	283	8296
33	287	8170
34	295	8143
35	300	8037
36	304	7929
37	313	7924
38	318	7838
39	327	7850
40	334	7835
41	346	7913
42	354	7888
43	363	7907
44	368	7820
45	376	7815
46	381	7730
47	385	7650
48	395	7668
49	399	7590
50	406	7567
51	414	7551
52	418	7477
53	423	7419
54	428	7365
55	433	7308
56	438	7255
57	446	7248
58	450	7190
59	456	7155
60	462	7112
61	466	7055
62	471	7013
63	476	6976
64	480	6918
65	484	6860
66	491	6838
67	495	6790
68	499	6741
69	506	6732
70	511	6695
71	517	6668
72	527	6697
73	531	6651
74	537	6625
75	543	6604
76	549	6586
77	554	6556
78	563	6567
79	573	6599
80	577	6554
81	582	6519
82	591	6538
83	607	6623
84	612	6592
85	618	6570
86	625	6561
87	636	6600
88	642	6576
89	647	6550
90	655	6543
91	660	6519
92	670	6543
93	680	6554
94	690	6575
95	695	6545
96	703	6553
97	709	6532
98	715	6512
99	724	6522
100	730	6505
101	739	6513
102	744	6481
103	748	6448
104	758	6462
105	763	6442
106	788	6576
107	795	6570
108	805	6585
109	812	6575
110	823	6591
111	831	6594
112	842	6613
113	851	6621
114	860	6620
115	868	6619
116	873	6590
117	877	6560
118	887	6567
119	897	6578
120	918	6675
121	926	6670
122	935	6671
123	950	6715
124	958	6712
125	965	6694
126	978	6722
127	990	6751
128	996	6726
129	1007	6743
130	1011	6711
131	1018	6695
132	1023	6671
133	1029	6650
134	1043	6688
135	1049	6666
136	1056	6656
137	1060	6625
138	1067	6611
139	1072	6585
140	1076	6557
141	1083	6544
142	1088	6524
143	1093	6497
144	1101	6496
145	1105	6465
146	1108	6433
147	1119	6442
148	1122	6413
149	1128	6395
150	1135	6384
151	1139	6356
152	1144	6336
153	1153	6334
154	1160	6324
155	1169	6328
156	1175	6309
157	1184	6309
158	1202	6357
159	1206	6334
160	1212	6316
161	1217	6298
162	1223	6281
163	1229	6265
164	1234	6247
165	1238	6223
166	1249	6231
167	1253	6207
168	1257	6184
169	1271	6206
170	1275	6183
171	1282	6174
172	1286	6151
173	1290	6128
174	1301	6133
175	1305	6110
176	1309	6089
177	1315	6075
178	1319	6052
179	1323	6029
180	1329	6014
181	1335	6000
182	1339	5981
183	1344	5962
184	1352	5956
185	1361	5959
186	1366	5939
187	1370	5917
188	1373	5894
189	1381	5889
190	1385	5869
191	1389	5848
192	1398	5846
193	1401	5824
194	1405	5803
195	1411	5789
196	1417	5777
197	1422	5759
198	1428	5748
199	1432	5730
200	1436	5711
201	1445	5709
202	1450	5693
203	1453	5673
204	1459	5660
205	1463	5642
206	1469	5631
207	1474	5614
208	1480	5603
209	1484	5584
210	1487	5563
211	1496	5562
212	1501	5546
213	1505	5529
214	1511	5519
215	1515	5502
216	1520	5485
217	1523	5465
218	1528	5451
219	1533	5436
220	1537	5420
221	1545	5417
222	1550	5401
223	1558	5397
224	1563	5385
225	1567	5368
226	1576	5369
227	1580	5353
228	1584	5335
229	1593	5335
230	1611	5363
231	1614	5345
232	1618	5328
233	1623	5315
234	1629	5304
235	1633	5288
236	1637	5272
237	1644	5264
238	1648	5249
239	1652	5233
240	1659	5226
241	1663	5210
242	1667	5195
243	1675	5191
244	1682	5185
245	1689	5176
246	1695	5167
247	1699	5152
248	1705	5145
